old,new,batch,evidence
romRegion,page_home_rom_region,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
root,page_home_root,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
safe_center_app_description,safe_center_app_description,skip,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
safe_center_app_name,safe_center_app_name,skip,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
save,system_ui_common_save,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
save_config_button,settings_save_config_button,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
save_configuration_button,system_ui_lock_screen_save_configuration_button,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
save_failed_message,system_ui_status_bar_save_failed_message,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
save_success_message,settings_save_success_message,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
save_success_title,system_ui_common_save_success_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
saving_config,settings_saving_config,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
scope_request_dialog_message,page_features_scope_request_dialog_message,page,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
scope_request_fail_message,page_features_scope_request_fail_message,page,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
screen_on_off_animation_duration,system_framework_screen_on_off_animation_duration,scope,app\src\main\java\com\qimian233\ztool\screens\systemframework\FrameworkSettingsScreen.kt
sec_title_function,common_sec_title_function,common,app\src\main\java\com\qimian233\ztool\screens\packageinstaller\PackageInstallerSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\safecenter\SafeCenterSettingsScreen.kt
select_config_files,settings_select_config_files,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
select_font_color_title,system_ui_common_select_font_color_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
select_ttf_file,settings_select_ttf_file,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
set_main_page_title,settings_set_main_page_title,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
settingsFragment_title,page_settings_title,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\SettingsRoute.kt
settings_app_description,settings_app_description,skip,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
settings_app_name,settings_app_name,skip,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
shouldStopMainActivity,settings_should_stop_main_activity,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
showAboutPage,page_settings_show_about_page,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\SettingsRoute.kt
showEmbeddingDivider,settings_show_embedding_divider,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
show_brightness_slider_percentage,system_ui_control_center_show_brightness_slider_percentage,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
show_ram_info,launcher_show_ram_info,scope,app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt
show_ram_info_summary,launcher_show_ram_info_summary,scope,app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt
show_surface_view_bg,settings_show_surface_view_bg,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
show_volume_slider_percentage,system_ui_control_center_show_volume_slider_percentage,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
skipLetterBoxToDisplay,settings_skip_letter_box_to_display,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
skipMultiWindowMode,settings_skip_multi_window_mode_title,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
skip_letterbox_display,settings_skip_letterbox_display,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
skip_multi_window_mode,settings_skip_multi_window_mode_label,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
skip_nearby_exposure_warn,mobile_desktop_skip_nearby_exposure_warn,scope,app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
skip_nearby_exposure_warn_summary,mobile_desktop_skip_nearby_exposure_warn_summary,scope,app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
skip_warn_page_summary,package_installer_skip_warn_page_summary,scope,app\src\main\java\com\qimian233\ztool\screens\packageinstaller\PackageInstallerSettingsScreen.kt
skip_warn_page_title,package_installer_skip_warn_page_title,scope,app\src\main\java\com\qimian233\ztool\screens\packageinstaller\PackageInstallerSettingsScreen.kt
slider_style_direction_title,system_ui_control_center_slider_style_direction_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
slider_style_forced_by_qs_panel,system_ui_control_center_slider_style_forced_by_qs_panel,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
slider_style_horizontal,system_ui_control_center_slider_style_horizontal,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
slider_style_vertical,system_ui_control_center_slider_style_vertical,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
slot_a,page_home_slot_a,page,app\src\main\java\com\qimian233\ztool\data\home\HomeRepository.kt
